core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.tx_b, float, 1
