djm, Sas, djm.1.sas1.timestamp, str, 1
djm, Sas, djm.1.sas2.x_angle, float, 1
djm, Sas, djm.1.sas2.y_angle, float, 1
djm, Sas, djm.1.sas2.tmp, float, 1
djm, Sas, djm.1.sas2.gain, int, 1
djm, Sas, djm.1.sas2.x_peak, int, 1
djm, Sas, djm.1.sas2.y_peak, int, 1
djm, Sas, djm.1.sas2.sensor_gain_mode, str, 1
djm, Sas, djm.1.sas2.error_chk, str, 1
djm, Sas, djm.1.sas2.timestamp, str, 1
djm, Djm, djm.1.time_stamp, str, 1
djm, Djm, djm.1.djm_version, str, 1
djm, Djm, djm.1.build_time, str, 1
djm, Djm, djm.1.build_date, str, 1
djm, Djm, djm.1.terminal_log, str, 1
djm, Djm, djm.1.checksum, int, 1
djm, Djm, djm.2.djm_id, int, 1
djm, Djm, djm.2.systime, str, 1
djm, Djm, djm.2.log_size, int, 1
djm, Djm, djm.2.hk_djm_id, int, 1
djm, Djm, djm.2.string_v.1, float, 1
djm, Djm, djm.2.string_v.2, float, 1
djm, Djm, djm.2.string_v.3, float, 1
djm, Djm, djm.2.string_v.4, float, 1
djm, Djm, djm.2.string_v.5, float, 1
djm, Djm, djm.2.string_v.6, float, 1
djm, Djm, djm.2.string_v.7, float, 1
djm, Djm, djm.2.string_v.8, float, 1
djm, Djm, djm.2.pulse_status.1, int, 1
djm, Djm, djm.2.pulse_status.2, int, 1
djm, Djm, djm.2.pulse_status.3, int, 1
djm, Djm, djm.2.pulse_status.4, int, 1
djm, Djm, djm.2.sap_panel_v, float, 1
djm, Djm, djm.2.sap_panel_i, float, 1
djm, Djm, djm.2.i2c_sas_power, float, 1
djm, Djm, djm.2.tmp, float, 1
djm, Djm, djm.2.ads1115_temp.1, float, 1
djm, Djm, djm.2.ads1115_temp.2, float, 1
djm, Djm, djm.2.ads1115_temp.3, float, 1
djm, Djm, djm.2.ads1115_temp.4, float, 1
djm, Djm, djm.2.ads1115_temp.5, float, 1
djm, Djm, djm.2.ads1115_temp.6, float, 1
djm, Djm, djm.2.ads1115_temp.7, float, 1
djm, Djm, djm.2.ads1115_temp.8, float, 1
djm, Djm, djm.2.ads1115_temp.9, float, 1
djm, Djm, djm.2.ads1115_temp.10, float, 1
djm, I2c, djm.2.i2c_current.unit_type, str, 1
djm, I2c, djm.2.i2c_current.cpu_i2c_origin, float, 1
djm, I2c, djm.2.i2c_current.djm_15, float, 1
djm, I2c, djm.2.i2c_current.temp_sensor, float, 1
djm, I2c, djm.2.i2c_current.mtq, float, 1
djm, I2c, djm.2.i2c_current.sas1, float, 1
djm, I2c, djm.2.i2c_current.sas2, float, 1
djm, I2c, djm.2.i2c_current.djm_i2c, float, 1
djm, I2c, djm.2.i2c_current.heater1, float, 1
djm, I2c, djm.2.i2c_current.heater2, float, 1
